Name,Type,Key Points,General,Gram Stain,Morphology,Laboratory,Treatment,Prevention,Disease,Signs,Sources
Acinetobacter,Bacteria,,Soldiers returning from Afghanistan,Gram negative,Coccobacillus,Oxidase negative,PCN; Antibiotics; NSAID; Steroids,,,,
Actinomyces,Bacteria,Present in normal human flora,Anaerobe,Gram positive,"Long, branching filaments",Not acid fast,Penicillin,,Oral/facial abscesses; Yellow sulfur granules,,
Adenovirus,Virus,,,,,,,,Gastroenteritis; Conjunctivitis,,
Ascaris lumbricoides,Nematode,Giant roundworm (helminth),,,,,,,Migratory pulmonary infiltrate; Eosinophilia,,
Bacillus anthracis,Bacteria,Cutaneous form has low mortality; Inhalational form has high mortality; Potential biological weapon,Sporeformer,Gram positive,Rod,,"Ciprofloaxcin, doxycycline, penicillin; Treatment must be initiated ASAP to avoid death (especially for inhalational)",,,,
Bacillus cereus,Bacteria,Pre-formed toxin; Fried rice,,Gram positive,Rod,Catalase +; Oxidase -; Beta hemolysis,Supportive (most cases are self-limiting),,Food poisoning,,
Bacteroides fragilis,Bacteria,Normal colonic flora,Aerotolerant anaerobe,Gram negative,Rod,,,,,,
Bartonella henselae,Bacteria,Cat scratches,,Gram negative,Rod,Warthin-Starry stain,Azithromycin,,Cat scratch disease,,
Bordetella pertussis,Bacteria,,,Gram negative,Coccobacillus,,Erythromycin; Azithromycin in kids <1 to avoid pyloric stenosis,"Vaccine (DTaP in kids, Tdap in adults)",Whooping Cough,Catarrhal phase (infectious); Paroxysmal phase (cough),
Borrelia burgdorferi,Bacteria,Ixodes tick (deer tick),,,Spirochete,,"Doxycycline; Amoxicillin, or cefuroxime in kids <8",,Lyme Disease,Erythema migrans (bulls eye); Diffuse arthrgias; Bell's palsy; Aseptic meningitis; Carditis; Complete heart block,
California encephalitis virus,Virus,,Bunyavirus,,,,,,,,
Campylobacter jejuni,Bacteria,Tiny Gull-shaped rods; Associated with chicken,Microaerophilic aerobe,Gram negative,Rod,Oxidase positive,Fluoroquinolones (Levo or cipro) or azithromycin,,Diarrhea; Guillain Barre syndrome; Reiters Syndrome,,
Candida albicans,Fungus,,,,,,,,Oral Candidiasis (Thrush); Yeast infections; Esophagitis,,
Chlamydia trachomatis,Bacteria,Causitave agent of Chlamydia,,Gram negative,Ovoid (intracellular),,Pelvic: Doxycycline or azithromycin; Eye: Oral erythromycin,Safe sex,Pelvic inflammatory disease; Conjunctivitis,,
Chlamydophila pneumoniae,Bacteria,"Common cause of ""walking pneumonia""; high seroprevalence among adults","Intracellular pathogen; Reticulate Body (RB): intracellular, replicative form; Elementary Body (EB): extracellular, infectious form",Gram negative,Ovoid (intracellular),Serology; Nucleic Acid Amplification Tests (NAAT),"Doxycycline; Macrolides (erythromycin, azithromycin)",,Atypical pneumonia,,
Clonorchis sinensis,Fluke,Cholangiocarcinoma; associated with ingestion of infected freshwater fish,"Also known as ""Chinese liver fluke""; commonly distributed throughout Asia",,,,Praziquantel; Albendazole,,,"Chronic: usually asymptomatic with intermittent abdominal pain, fatigue, anorexia, dyspepsia; Acute (rare): abodminal pain, fever, fatigue, anorexia, hepatomegaly, eosinophilia",
Clostridium botulinum,Bacteria,Associated with raw honey; Produces highly potent paralytic toxin,Strict anaerobe; Disease due to botulinum toxin; Can form stable spores,Gram positive,Rod,,Botulinum antitoxin; Ventilation if respiratory involvement,,Botulism,Progressive flaccid paralysis,
Clostridium difficile,Bacteria,GI disease after antibiotic treatment; Easily spread in hospitals,Sporeformer; Fecal-oral route; Anaerobic,Gram positive,Rod,PCR,Metronidazole + vancomycin (or fidaxomicin); Human monoclonal anti-toxin B,,Post-antibiotic-treatment-associated diarrhea; Pseudomembranous colitis,,
Clostridium perfringens,Bacteria,Associated with cooked meat (esp. beef),,Gram positive,Rod,,,,Gas gangrene; Foodborne illness,,
Clostridium tetani,Bacteria,Causative agent of tetanus; Classically associated with wounds involving rusted metal (i.e. nails),Sporeformer; Strict anaerobe; Caused by infections of wounds by spores,Gram positive,Rod,No major lab tests; Diagnosis based primarily based on H&P,Tetanus Immunoglobulin (TIG); mechanical ventilation may be needed in severe cases,"Vaccine (DTaP in kids, Tdap or Td in adults)",Tetanus,"Trismus (""lockjaw""); Arching of back muscles (opisthotonus); Severe and painful spasms of skeletal muscle",
Corynebacterium diphtheriae,Bacteria,Largely eliminated in US due to vaccination,Prominent pseudomembrane in affected individuals,Gram positive,Club-Shaped Rod,Toxigenicity testing for diptheria toxin,"Antitoxin to neutralize toxin, antibiotics to eradicate organisms","Vaccine (DTaP in kids, Tdap in adults)",Diptheria,,
Coxsackievirus,Virus,,Enterovirus; ssRNA,,,,,,"Hand, foot, and mouth disease; Herpangina; Pleurodynia (Bornholm disease)",,
Cryptosporidium parvum,Protozoa,Unchlorinated pool water,,,,Acid fast stain,,,"Acute, watery, and nonbloody diarrhea",,
Cyclospora cayetanensis,Protozoa,Reported in tropical and subtropical regions,,,,,,,,,
Cytomegalovirus (CMV),Virus,,Herpesviridae,,,,Valgancyclovir,,Chorioretinitis; Encephalitis; Microcephaly; Periventricular calcifications in the brain (cmV = periVentricular); Esophagitis; Gastritis,,
Diphyllobothrium latum,Tapeworm,Fish tapeworm url:https://upload.wikimedia.org/wikipedia/commons/4/42/D_latum_LifeCycle.png,,,,,,,B12 deficiency (megaloblastic anemia),,
Eastern Equine Encephalitis (EEE),Virus,,Togavirus (alphavirus),,Enveloped,Serology,,Vaccine,Encephalitis,Flu-like symptoms,
